data_id,state_id,indicator_id,categories_id,nfhs_id,ST,Non-ST,Total
576,22,6,1,2,14,11.2,12
577,22,7,1,2,95.2,96.9,96.4
578,22,8,1,2,91.4,84.7,86.7
579,22,9,1,2,65.4,47.3,52.8
580,22,10,1,2,97,99.2,98.5
581,22,11,1,2,91.4,97.4,95.6
582,22,12,1,2,70.8,86.5,81.7
583,22,13,1,2,25.2,11,15.3
584,22,14,1,2,16.3,40.2,33
585,22,15,1,2,20.5,53.1,43.2
586,22,16,1,2,56.8,75.2,69.6
587,22,17,1,2,71,71.5,71.4
588,22,18,1,2,0.9,0.9,0.9
589,22,19,2,2,31.9,44.7,40.8
590,22,20,2,2,79,88.5,85.7
591,22,21,2,2,45.1,71.3,63.5
592,22,22,2,2,21.7,28.7,26.7
593,22,23,3,2,59.1,73.4,69
594,22,24,3,2,58.7,71.5,67.8
595,22,25,3,2,37.8,51.5,47.5
596,22,26,3,2,1.4,0.5,0.8
597,22,27,3,2,92.4,82.7,85
598,22,28,3,2,10.4,7.4,8.3
599,22,29,3,2,4.1,3.1,3.4
600,22,30,4,2,3.4,2.9,3.1
601,22,31,4,2,60.6,67.9,65.7
602,22,32,4,2,56.1,62.3,60.3
603,22,33,4,2,43.9,45.4,44.9
604,22,34,4,2,26.6,31.1,29.7
605,22,35,4,2,95.8,98.2,97.4
606,22,36,4,2,81.4,78,79.1
607,22,37,4,2,87.1,79.9,82.1
608,22,38,4,2,90.3,83.8,85.8
609,22,39,5,2,77.4,89.5,85.7
610,22,40,5,2,70.4,69.8,70
611,22,41,5,2,7.3,18.8,15.2
612,22,42,5,2,37.3,45,41.1
613,22,43,5,2,5.7,10.4,8.9
614,22,44,5,2,54.6,44.6,47.5
615,22,45,5,2,3403,6693,5733
616,22,46,6,2,87.1,90.3,89.3
617,22,47,6,2,10.6,1.9,4.6
618,22,48,7,2,94.5,97.5,96.6
619,22,49,7,2,61.1,64.4,63.3
620,22,50,7,2,69.4,75.4,73.5
621,22,51,7,2,45.3,42.1,43.1
622,22,52,7,2,4.8,3.1,3.6
623,22,53,7,2,78.8,87.9,84.2
624,22,54,7,2,68.9,66.2,67.3
625,22,55,7,2,38.7,40.9,40
626,22,56,7,2,30.1,35,33
627,22,57,7,2,1.1,1.6,1.5
628,22,58,7,2,29.5,42.6,39.5
629,22,59,8,2,18.4,14.8,15.9
630,22,60,8,2,32.3,32.2,32.2
631,22,61,8,2,87,77.3,80.4
632,22,62,8,2,10.4,8.8,9.3
633,22,63,8,2,38.6,32.8,34.6
634,22,64,8,2,21,18,18.9
635,22,65,8,2,8.1,7.3,7.5
636,22,66,8,2,36,29.2,31.3
637,22,67,8,2,3.3,4.3,4
638,22,68,8,2,72.1,66.3,68.1
639,22,69,8,2,83.7,75.6,78.1
640,22,70,8,2,87.6,81.4,83.3
641,22,71,8,2,36,30,31.9
642,22,72,8,2,34.7,29.8,31.4
643,22,73,8,2,83.6,77,79.1
644,22,74,8,2,85.6,84.4,84.8
645,22,75,9,2,29.3,20.5,23.1
646,22,76,9,2,19.8,16.6,17.5
647,22,77,9,2,8.7,16.4,14.1
